data,primeira_dose,segunda_dose_mais_unica,dose_de_reforco
22/01/2021,0,0,0
22/02/2021,264973,76213,0
22/03/2021,542935,191426,0
22/04/2021,1266573,516526,0
22/05/2021,1659397,862049,0
22/06/2021,2916269,1053806,0
22/07/2021,3931320,1477355,0
22/08/2021,5109241,2240482,0
22/09/2021,6252187,3233264,5081
22/10/2021,6760088,4427680,215479
22/11/2021,7134385,5539262,567168
22/12/2021,7270681,6225120,1091734
22/01/2022,7367427,6483605,1742107
22/02/2022,7835401,6721402,2319934
22/03/2022,8068417,6943377,2923356
22/04/2022,8163523,7157934,3326161
22/05/2022,8235967,7331420,3646666
22/06/2022,8270902,7440733,3929647
22/07/2022,8357608,7598411,4305978
22/08/2022,8428998,7671341,4405921